trial	mat.onset	mat.offset	py.onset	py.offset	onsetDiff	offDiff
1	2560	4610	2520	4550	40	60
2	1366	3595	1350	3050	16	545
3	1770	3290	1760	5530	10	-2240
4	1356	2952	1340	2920	16	32
5	1988	3424	2000	3310	-12	114
6	1125	2149	1110	2430	15	-281
7	1556	2812	1530	3020	26	-208
8	1095	2691	1080	2670	15	21
9	1960	6630	2740	6650	-780	-20
10	2290	3695	2260	3750	30	-55
11	2140	3910	2130	3890	10	20
12	1880	6100	1880	6190	0	-90
13	1820	4100	430	4130	1390	-30
14	1687	2992	1680	2980	7	12
15	2170	4010	2170	4190	0	-180
16	1105	2751	1110	3630	-5	-879
17	1315	2601	1310	2910	5	-309
18	1677	3023	1650	3000	27	23
19	2290	4020	2270	3840	20	180
20	1988	3243	1970	3340	18	-97
21	2260	4060	2250	4250	10	-190
22	1858	3555	1830	3530	28	25
23	300	6520	650	6510	-350	10
24	1637	2772	290	2880	1347	-108
25	1526	3243	1480	3140	46	103
26	1416	2741	1380	2700	36	41
27	1677	3645	1630	3620	47	25
28	1737	3193	1760	3200	-23	-7
29	2060	9510	2050	9500	10	10
30	480	4080	490	4070	-10	10
31	1860	6690	1840	6710	20	-20
32	700	3600	710	3580	-10	20
33	370	5920	360	5900	10	20
34	1315	2551	1330	3690	-15	-1139
35	2130	3650	2110	3640	20	10
36	1848	3033	1840	4020	8	-987
37	1597	3113	1720	3110	-123	3
38	1396	2852	1390	2840	6	12
39	1677	2741	1650	3390	27	-649
40	1828	3033	1810	2790	18	243
41	1808	2862	1770	2870	38	-8
42	1890	5110	1880	5120	10	-10
43	1998	3384	1370	3430	628	-46
44	1848	3495	2300	4470	-452	-975
45	2390	5680	1260	6350	1130	-670
46	2390	3635	2360	3630	30	5
47	2239	3685	2230	4470	9	-785
48	1416	2982	1890	3900	-474	-918
49	4270	7450	4250	7770	20	-320
50	1506	2531	1480	2630	26	-99
51	2510	7270	2510	7260	0	10
52	270	3500	280	3780	-10	-280
53	2150	4320	2160	5500	-10	-1180
54	1687	2561	1680	3250	7	-689
55	1978	3746	1950	3860	28	-114
56	1105	2430	1080	2470	25	-40
57	2250	3200	410	3620	1840	-420
58	1660	4200	1960	4220	-300	-20
59	1670	4350	1660	3840	10	510
60	970	4390	2840	4380	-1870	10
61	1707	2761	1680	2730	27	31
62	844	4459	470	4330	374	129
63	1687	3243	900	3180	787	63
64	1506	3223	1490	3200	16	23
65	1727	3143	1660	3170	67	-27
66	1677	2802	1660	2780	17	22
67	271	2510	290	2530	-19	-20
68	1145	2199	800	2130	345	69
69	1446	2510	1430	2480	16	30
70	854	2490	870	3260	-16	-770
71	311	3173	290	3140	21	33
72	1195	4579	430	4560	765	19
73	944	2822	970	2830	-26	-8
74	1336	2641	1350	3570	-14	-929
75	1034	3414	1930	3350	-896	64
76	1326	3615	1810	3320	-484	295
77	271	3163	1320	3130	-1049	33
78	1215	2159	1250	3070	-35	-911
79	1315	2440	990	2300	325	140
80	914	1978	910	2950	4	-972
81	2280	4250	2290	5620	-10	-1370
82	1215	2119	1180	2790	35	-671
83	783	3223	660	3150	123	73
84	1165	2059	1150	2060	15	-1
85	1617	2641	1630	2980	-13	-339
86	1295	3173	1280	3150	15	23
87	1195	2912	1340	2890	-145	22
88	472	3354	450	3340	22	14
89	1480	9250	1020	9250	460	0
90	291	3374	280	3350	11	24
91	2510	7350	1210	7350	1300	0
92	2169	3073	2180	3030	-11	43
93	1800	6230	1760	6260	40	-30
94	331	2982	300	2850	31	132
95	1677	2691	1650	2730	27	-39
96	813	2691	820	1840	-7	851
97	1928	3093	1890	3020	38	73
98	1085	1888	1090	2690	-5	-802
99	1195	2510	1210	2480	-15	30
100	382	2932	390	2910	-8	22
101	2080	3990	2100	5030	-20	-1040
102	1064	2822	1220	2800	-156	22
103	1356	2059	1360	3080	-4	-1021
104	1245	3123	1430	3100	-185	23
105	1115	2018	1200	3210	-85	-1192
106	2179	3665	1070	4260	1109	-595
107	382	2902	990	2910	-608	-8
108	1060	8820	1210	9010	-150	-190
109	1145	2772	1130	2770	15	2
110	1790	6330	1770	6350	20	-20
111	1165	3384	760	4150	405	-766
112	1024	2721	1010	1910	14	811
113	2790	5470	2810	5440	-20	30
114	2380	9120	2350	9110	30	10
115	2300	3860	2280	3840	20	20
116	1630	5100	1650	5100	-20	0
117	1940	14820	1950	14790	-10	30
118	372	3213	330	4040	42	-827
119	1265	2420	1270	3390	-5	-970
120	1420	13190	1390	13070	30	120
121	462	3374	450	3360	12	14
122	1767	3424	1740	2700	27	724
123	1270	4760	1230	4760	40	0
124	1326	2320	1320	2320	6	0
125	1848	3484	360	3500	1488	-16
126	1064	1998	1050	2040	14	-42
127	1617	3043	1610	3040	7	3
128	964	1878	940	1870	24	8
129	1416	2239	1380	2240	36	-1
130	1346	3444	1330	2430	16	1014
131	1265	2470	1250	2450	15	20
132	1888	2862	1860	2850	28	12
133	2070	7060	2060	7060	10	0
134	270	14960	2090	14950	-1820	10
135	1910	3860	1920	3870	-10	-10
136	1346	2912	1240	2840	106	72
137	1570	5570	1570	5500	0	70
138	1450	3600	1400	3660	50	-60
139	2950	4310	2910	4280	40	30
140	3200	4980	3180	4950	20	30
141	2050	3560	1830	3550	220	10
142	2290	4840	2290	4840	0	0
143	2910	5050	2890	5180	20	-130
144	2340	3620	2350	4000	-10	-380
145	2870	4530	2860	4550	10	-20
146	944	2882	940	3090	4	-208
147	2000	6050	1980	6130	20	-80
148	270	4420	280	4270	-10	150
149	2760	4530	2760	4510	0	20
150	1255	2450	1190	2450	65	0
151	2620	6040	2610	6020	10	20
152	1450	4030	2010	4020	-560	10
153	270	5980	280	6030	-10	-50
154	2710	4680	2700	4460	10	220
155	2770	8200	3300	8180	-530	20
156	1155	3023	1100	2330	55	693
157	1416	2731	1400	2700	16	31
158	2660	4080	2670	4080	-10	0
159	974	2300	980	2290	-6	10
160	1516	2892	1500	2880	16	12
161	1828	3535	1820	3550	8	-15
162	2570	4400	2540	4400	30	0
163	1850	3430	1840	3440	10	-10
164	2099	3384	2080	3370	19	14
